 log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	6.30	0.69999999	0.7000	-0.5171	3.7545	4.7643	6.063	6.603	6.816	6.255	5.880	5.487	5.054	4.695	4.633	-1.19890256
	6.30	0.80000001	0.8000	-0.2397	3.7909	4.6904	5.369	5.701	5.976	5.528	5.215	4.882	4.529	4.231	4.195	-1.00113983
	6.30	0.89999998	0.9000	0.0033	3.8244	4.6325	4.762	4.988	5.263	4.899	4.640	4.362	4.087	3.850	3.827	-0.85396262
	6.30	1.00000000	1.0000	0.2186	3.8568	4.5927	4.224	4.402	4.638	4.339	4.133	3.915	3.707	3.539	3.519	-0.74074074
	6.30	1.10000002	1.1000	0.4092	3.8928	4.5875	3.747	3.921	4.062	3.842	3.701	3.549	3.421	3.315	3.299	-0.65130752
	6.30	1.20000005	1.2000	0.5695	3.9292	4.6106	3.346	3.572	3.589	3.453	3.389	3.317	3.248	3.196	3.196	-0.57912395
	6.30	1.29999995	1.3000	0.7232	3.9642	4.6317	2.962	3.213	3.213	3.149	3.134	3.109	3.088	3.076	3.075	-0.51980772
	6.30	1.39999998	1.4000	0.8633	3.9956	4.6493	2.612	2.881	2.931	2.912	2.918	2.925	2.947	2.957	2.959	-0.47031994
	6.30	1.50000000	1.5000	0.9902	4.0238	4.6652	2.295	2.602	2.716	2.730	2.751	2.773	2.825	2.846	2.857	-0.42849231
	6.30	1.60000002	1.6000	1.1053	4.0495	4.6809	2.007	2.352	2.536	2.577	2.607	2.643	2.722	2.748	2.766	-0.39273920
	6.30	1.70000005	1.7000	1.2152	4.0739	4.6950	1.732	2.126	2.374	2.438	2.475	2.519	2.624	2.658	2.681	-0.36187632
	6.30	1.79999995	1.8000	1.3182	4.0953	4.7025	1.475	1.913	2.221	2.301	2.341	2.400	2.519	2.559	2.583	-0.33500274
	6.30	1.89999998	1.9000	1.4072	4.1170	4.7235	1.252	1.754	2.112	2.205	2.255	2.317	2.453	2.499	2.530	-0.31142170
	6.30	2.00000000	2.0000	1.4963	4.1359	4.7324	1.029	1.585	1.987	2.091	2.144	2.215	2.367	2.415	2.452	-0.29058670
	6.30	2.09999990	2.1000	1.5770	4.1534	4.7426	0.827	1.436	1.878	1.992	2.048	2.125	2.291	2.343	2.384	-0.27206346
	6.30	2.20000005	2.2000	1.6535	4.1710	4.7571	0.636	1.305	1.784	1.906	1.966	2.049	2.230	2.284	2.328	-0.25550276
	6.30	2.29999995	2.3000	1.7278	4.1881	4.7704	0.450	1.178	1.691	1.822	1.886	1.973	2.167	2.226	2.273	-0.24062108
	6.30	2.40000010	2.4000	1.7982	4.2024	4.7754	0.274	1.050	1.591	1.729	1.799	1.888	2.093	2.157	2.206	-0.22718572
	6.30	2.50000000	2.5000	1.8634	4.2185	4.7925	0.111	0.943	1.515	1.663	1.736	1.831	2.047	2.115	2.165	-0.21500434
	6.30	3.00000000	3.0000	2.1442	4.2799	4.8364	-0.590	0.466	1.151	1.325	1.411	1.525	1.785	1.862	1.926	-0.16809413
	6.30	4.00000000	4.0000	2.5868	4.3740	4.8952	-1.697	-0.285	0.557	0.776	0.883	1.023	1.340	1.435	1.516	-0.11399485
	6.30	5.00000000	4.9999	2.9088	4.4433	4.9475	-2.502	-0.836	0.101	0.359	0.479	0.638	0.994	1.104	1.204	-0.08434449
	6.30	6.00000000	5.9999	3.1575	4.4983	4.9977	-3.124	-1.283	-0.273	0.007	0.137	0.312	0.702	0.822	0.928	-0.06594199
