#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
  1 0.000000e+00 4.2141 3.6442 4.0000 0.8775 0.257
  2 4.193920e+03 4.2271 3.6432 4.0000 0.8781 0.513
  3 1.099810e+04 4.2449 3.6412 4.0000 0.8785 1.002
  4 1.829970e+04 4.2610 3.6383 4.0000 0.8786 1.548
  5 2.572100e+04 4.2755 3.6353 4.0000 0.8787 2.110
  6 3.319710e+04 4.2885 3.6324 4.0000 0.8787 2.679
  7 4.071390e+04 4.3001 3.6295 4.0000 0.8787 3.250
  8 4.826630e+04 4.3105 3.6266 4.0000 0.8788 3.819
  9 5.585030e+04 4.3198 3.6238 4.0000 0.8788 4.384
 10 6.346290e+04 4.3282 3.6209 4.0000 0.8788 4.944
 11 7.110100e+04 4.3357 3.6182 3.9999 0.8788 5.494
 12 7.876210e+04 4.3425 3.6158 3.9999 0.8789 6.035
 13 8.644370e+04 4.3487 3.6134 3.9998 0.8789 6.564
 14 9.414390e+04 4.3543 3.6106 3.9997 0.8789 7.081
 15 1.018610e+05 4.3594 3.6085 3.9995 0.8789 7.590
 16 1.095930e+05 4.3641 3.6063 3.9993 0.8789 8.083
 17 1.173380e+05 4.3685 3.6038 3.9990 0.8789 8.551
 18 1.250970e+05 4.3726 3.6015 3.9986 0.8789 8.976
 19 1.328670e+05 4.3765 3.5987 3.9982 0.8790 9.329
 20 1.406480e+05 4.3801 3.5953 3.9976 0.8790 9.576
 21 1.484390e+05 4.3835 3.5915 3.9969 0.8790 9.671
 22 1.562400e+05 4.3868 3.5868 3.9962 0.8790 9.591
 23 1.640500e+05 4.3900 3.5822 3.9954 0.8790 9.301
 24 1.718700e+05 4.3930 3.5776 3.9946 0.8790 8.758
 25 1.796980e+05 4.3960 3.5727 3.9938 0.8790 8.009
 26 1.875350e+05 4.3989 3.5683 3.9931 0.8790 7.088
 27 1.953800e+05 4.4018 3.5652 3.9926 0.8790 6.075
 28 2.032310e+05 4.4046 3.5633 3.9922 0.8790 5.020
 29 2.110900e+05 4.4074 3.5630 3.9919 0.8790 3.958
 30 2.189550e+05 4.4102 3.5637 3.9917 0.8790 2.989
 31 2.268250e+05 4.4130 3.5657 3.9916 0.8790 2.190
 32 2.347000e+05 4.4158 3.5687 3.9916 0.8790 1.614
 33 2.425800e+05 4.4186 3.5722 3.9916 0.8790 1.264
 34 2.504640e+05 4.4213 3.5754 3.9915 0.8791 1.087
 35 2.583520e+05 4.4241 3.5767 3.9915 0.8791 1.002
 36 2.662400e+05 4.4268 3.5769 3.9915 0.8791 0.963
 37 2.741310e+05 4.4295 3.5764 3.9915 0.8791 0.950
 38 2.820260e+05 4.4323 3.5756 3.9915 0.8791 0.945
 39 2.899230e+05 4.4351 3.5745 3.9915 0.8791 0.940
 40 2.978240e+05 4.4378 3.5736 3.9914 0.8791 0.940
 41 3.057280e+05 4.4406 3.5728 3.9914 0.8791 0.942
 42 3.136350e+05 4.4434 3.5719 3.9914 0.8791 0.946
 43 3.215450e+05 4.4462 3.5710 3.9914 0.8791 0.951
 44 3.294580e+05 4.4489 3.5701 3.9913 0.8791 0.957
 45 3.373740e+05 4.4518 3.5690 3.9913 0.8791 0.965
