#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 0.000000e+00 1.9155 3.7585 2.5817  8.0742 4.2715 0.0000 0.9653 0.0345 0.0001 0.000 0.428  0.731 0.401 0.524 0.269 0.000 0.051 0.000 0.000 0.000 bcheb
  2 7.680765e+06 1.9263 3.7566 2.5633  8.0804 4.2496 0.0000 0.8606 0.1338 0.0055 0.149 0.457  0.709 0.402 0.479 0.293 0.000 0.051 0.000 0.000 0.000 tmincheb
  3 2.760570e+07 1.9487 3.7646 2.5729  8.0978 4.1950 0.0000 0.6260 0.3292 0.0447 0.183 0.486  0.626 0.408 0.505 0.376 0.000 0.060 0.000 0.000 0.000 
  4 4.518129e+07 1.9646 3.7738 2.5938  8.1173 4.1630 0.0000 0.4185 0.4628 0.1186 0.185 0.504  0.527 0.418 0.523 0.476 0.000 0.069 0.000 0.000 0.000 
  5 5.254439e+07 1.9720 3.7755 2.5932  8.1280 4.1574 0.0000 0.3284 0.5024 0.1691 0.187 0.511  0.478 0.422 0.529 0.525 0.000 0.079 0.000 0.001 0.000 tmaxcheb
  6 6.753026e+07 1.9924 3.7670 2.5388  8.1565 4.1771 0.0000 0.1595 0.5176 0.3228 0.188 0.522  0.388 0.428 0.533 0.615 0.000 0.087 0.000 0.001 0.000 
  7 7.517628e+07 2.0085 3.7578 2.4859  8.1773 4.2149 0.0000 0.0861 0.4689 0.4448 0.190 0.526  0.357 0.432 0.530 0.646 0.000 0.093 0.000 0.001 0.000 
  8 7.971786e+07 2.0251 3.7487 2.4329  8.1981 4.2686 0.0000 0.0440 0.4090 0.5468 0.189 0.527  0.357 0.434 0.523 0.644 0.000 0.099 0.000 0.002 0.000 
  9 8.329267e+07 2.0455 3.7399 2.3773  8.2225 4.3425 0.0000 0.0187 0.3352 0.6460 0.184 0.529  0.379 0.437 0.513 0.621 0.000 0.105 0.000 0.003 0.000 
 10 8.487363e+07 2.0681 3.7316 2.3215  8.2521 4.4476 0.0000 0.0049 0.2910 0.7040 0.167 0.528  0.442 0.438 0.499 0.535 0.000 0.110 0.000 0.005 0.000 
 11 8.526712e+07 2.0985 3.7246 2.2631  8.2859 4.5922 0.0000 0.0005 0.2783 0.7211 0.117 0.528  0.554 0.438 0.485 0.270 0.000 0.110 0.000 0.009 0.000 
 12 8.537128e+07 2.1344 3.7203 2.2100  8.2980 4.7427 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.633 0.438 0.477 0.019 0.014 0.258 0.000 0.012 0.000 
 13 8.541730e+07 2.1688 3.7177 2.1652  8.3016 4.8104 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.634 0.438 0.474 0.028 0.031 0.261 0.000 0.012 0.000 
 14 8.545692e+07 2.2085 3.7148 2.1139  8.3074 4.8702 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.639 0.439 0.472 0.045 0.043 0.274 0.000 0.013 0.000 
 15 8.549654e+07 2.2446 3.7127 2.0694  8.3126 4.9169 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.645 0.439 0.469 0.071 0.058 0.280 0.000 0.013 0.000 
 16 8.554116e+07 2.2890 3.7102 2.0150  8.3176 4.9702 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.652 0.439 0.468 0.135 0.066 0.291 0.000 0.014 0.000 
 17 8.562730e+07 2.3240 3.7083 1.9724  8.3111 5.0294 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.597 0.440 0.468 0.396 0.087 0.291 0.000 0.012 0.000 lmaxeagb
 18 8.574915e+07 2.2928 3.7101 2.0108  8.2946 5.0587 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.498 0.441 0.470 0.499 0.099 0.296 0.000 0.011 0.000 
 19 8.625123e+07 2.2495 3.7127 2.0645  8.2525 5.1754 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.217 0.442 0.474 0.779 0.122 0.304 0.000 0.010 0.000 lmineagb
 20 8.701085e+07 2.2804 3.7105 2.0248  8.2247 5.2640 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.050 0.443 0.474 0.961 0.147 0.307 0.000 0.008 0.000 
 21 8.755729e+07 2.3198 3.7083 1.9766  8.2092 5.3096 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.020 0.443 0.473 0.984 0.152 0.311 0.000 0.008 0.000 
 22 8.816829e+07 2.3648 3.7058 1.9216  8.1948 5.3598 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.010 0.444 0.470 0.990 0.161 0.317 0.000 0.007 0.000 
 23 8.875377e+07 2.3991 3.7040 1.8801  8.1879 5.3941 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.006 0.444 0.468 0.992 0.168 0.321 0.000 0.007 0.000 
 24 8.930315e+07 2.4465 3.7020 1.8247  8.1822 5.4387 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.004 0.444 0.466 0.992 0.178 0.328 0.000 0.007 0.019 
 25 8.979935e+07 2.4763 3.7000 1.7869  8.1800 5.4658 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.003 0.444 0.465 0.993 0.181 0.333 0.000 0.007 0.040 
 26 9.025079e+07 2.5213 3.6979 1.7335  8.1778 5.5051 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.002 0.444 0.463 0.991 0.190 0.340 0.000 0.008 0.062 
 27 9.066052e+07 2.5636 3.6958 1.6828  8.1763 5.5415 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.001 0.444 0.462 0.992 0.201 0.346 0.000 0.008 0.072 
 28 9.101693e+07 2.6032 3.6937 1.6348  8.1754 5.5745 0.0000 0.0000 0.2768 0.7231 0.000 0.528  0.001 0.444 0.461 0.989 0.214 0.352 0.000 0.008 0.083 
 29 9.134289e+07 2.6460 3.6920 1.5852  8.1747 5.6107 0.0000 0.0000 0.2768 0.7231 0.000 0.523  0.001 0.444 0.460 0.986 0.229 0.358 0.000 0.008 0.095 
 30 9.163771e+07 2.6873 3.6896 1.5343  8.1740 5.6467 0.0000 0.0000 0.2768 0.7231 0.000 0.514  0.001 0.444 0.459 0.983 0.243 0.365 0.000 0.009 0.101 
 31 9.190569e+07 2.7226 3.6879 1.4922  8.1731 5.6781 0.0000 0.0000 0.2768 0.7231 0.000 0.509  0.001 0.444 0.459 0.982 0.263 0.371 0.000 0.009 0.107 
 32 9.214316e+07 2.7657 3.6858 1.4407  8.1711 5.7142 0.0000 0.0000 0.2768 0.7231 0.000 0.503  0.001 0.444 0.458 0.981 0.275 0.376 0.000 0.010 0.112 
