#n   age/yr      logL   logTef grav    logTc  logrho Xc     Yc     Xc_C   Xc_O   Q_conv Q_disc L_H/L Q1_H Q2_H L_He/L Q1_He Q2_He L_C/L L_nu/L Q_Tmax phase
#(1) (2)         (3)    (4)    (5)     (6)    (7)    (8)    (9)    (10)   (11)   (12)   (13)   (14) (15)  (16) (17)   (18)  (19)  (20)  (21)   (22)   (23) 
  1 -1.044055e-04 1.2228 4.0689 4.6798  7.3430 1.9933 0.7692 0.2307 0.0000 0.0000 0.229 0.000  0.993 0.000 0.580 0.000 0.000 0.000 0.000 0.000 0.000 bms
  2 1.276100e+08 1.2503 4.0713 4.6619  7.3528 2.0090 0.7257 0.2742 0.0000 0.0000 0.225 0.599  1.001 0.000 0.636 0.000 0.000 0.000 0.000 0.000 0.000 
  3 2.687891e+08 1.2866 4.0747 4.6392  7.3662 2.0323 0.6717 0.3282 0.0000 0.0000 0.218 0.682  1.001 0.000 0.646 0.000 0.000 0.000 0.000 0.000 0.000 
  4 3.894992e+08 1.3254 4.0788 4.6168  7.3823 2.0634 0.6143 0.3856 0.0000 0.0000 0.211 0.723  1.001 0.000 0.646 0.000 0.000 0.000 0.000 0.000 0.000 
  5 4.920221e+08 1.3640 4.0828 4.5942  7.3992 2.0998 0.5584 0.4415 0.0000 0.0000 0.194 0.744  1.001 0.000 0.646 0.000 0.000 0.000 0.000 0.000 0.000 
  6 5.867019e+08 1.4039 4.0864 4.5687  7.4184 2.1416 0.4963 0.5036 0.0000 0.0000 0.182 0.754  1.001 0.000 0.646 0.000 0.000 0.000 0.000 0.000 0.000 
  7 6.776065e+08 1.4425 4.0880 4.5365  7.4374 2.1807 0.4322 0.5677 0.0000 0.0000 0.176 0.764  1.001 0.000 0.636 0.000 0.000 0.000 0.000 0.000 0.000 tmaxms
  8 7.605234e+08 1.4833 4.0864 4.4893  7.4563 2.2178 0.3596 0.6403 0.0000 0.0000 0.165 0.773  1.001 0.000 0.608 0.000 0.000 0.000 0.000 0.000 0.000 
  9 8.294582e+08 1.5185 4.0814 4.4341  7.4726 2.2477 0.2904 0.7095 0.0000 0.0000 0.156 0.773  1.002 0.000 0.560 0.000 0.000 0.000 0.000 0.000 0.000 
 10 8.829738e+08 1.5496 4.0740 4.3734  7.4877 2.2757 0.2240 0.7759 0.0000 0.0000 0.146 0.778  1.002 0.000 0.508 0.000 0.000 0.000 0.000 0.000 0.000 
 11 9.252560e+08 1.5741 4.0660 4.3169  7.5011 2.3025 0.1678 0.8321 0.0000 0.0000 0.137 0.778  1.002 0.000 0.471 0.000 0.000 0.000 0.000 0.000 0.000 
 12 9.597952e+08 1.5960 4.0575 4.2610  7.5156 2.3350 0.1147 0.8852 0.0000 0.0000 0.127 0.778  1.002 0.000 0.430 0.000 0.000 0.000 0.000 0.000 0.000 
 13 9.931286e+08 1.6216 4.0492 4.2022  7.5395 2.3971 0.0532 0.9467 0.0000 0.0000 0.115 0.782  1.001 0.000 0.391 0.000 0.000 0.000 0.000 0.000 0.000 
 14 1.000071e+09 1.6278 4.0487 4.1940  7.5474 2.4198 0.0401 0.9598 0.0000 0.0000 0.112 0.782  1.000 0.000 0.391 0.000 0.000 0.000 0.000 0.000 0.000 tminms
 15 1.013603e+09 1.6488 4.0567 4.2050  7.5805 2.5233 0.0108 0.9891 0.0000 0.0000 0.103 0.782  0.990 0.000 0.411 0.000 0.000 0.000 0.000 0.000 0.000 
 16 1.016433e+09 1.6620 4.0664 4.2306  7.6012 2.5972 0.0044 0.9955 0.0000 0.0000 0.098 0.782  0.973 0.000 0.455 0.000 0.000 0.000 0.000 0.000 0.000 
 17 1.017615e+09 1.6751 4.0750 4.2519  7.6177 2.6648 0.0020 0.9979 0.0000 0.0000 0.091 0.782  0.943 0.000 0.516 0.000 0.000 0.000 0.000 0.000 0.000 
 18 1.018226e+09 1.6941 4.0846 4.2713  7.6372 2.7691 0.0007 0.9993 0.0000 0.0000 0.076 0.782  0.886 0.000 0.590 0.000 0.000 0.000 0.000 0.000 0.000 
 19 1.018582e+09 1.7098 4.0903 4.2784  7.6469 2.9641 0.0001 0.9998 0.0000 0.0000 0.029 0.782  0.921 0.000 0.655 0.000 0.000 0.000 0.000 0.000 0.000 tmaxlms
 20 1.018839e+09 1.6939 4.0813 4.2583  7.6061 3.1759 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.139 0.001 0.636 0.000 0.000 0.000 0.000 0.000 0.000 
 21 1.018874e+09 1.6931 4.0796 4.2523  7.6037 3.1939 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.136 0.002 0.626 0.000 0.000 0.000 0.000 0.000 0.000 lminsgb
 22 1.019131e+09 1.7108 4.0710 4.2002  7.5940 3.2989 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.094 0.011 0.599 0.000 0.000 0.000 0.000 0.000 0.000 
 23 1.019554e+09 1.7335 4.0620 4.1415  7.5849 3.4101 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.053 0.024 0.537 0.000 0.000 0.000 0.000 0.000 0.000 
 24 1.020273e+09 1.7471 4.0529 4.0915  7.5779 3.5140 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.031 0.037 0.478 0.000 0.000 0.000 0.000 0.000 0.000 
 25 1.021369e+09 1.7573 4.0431 4.0421  7.5748 3.6196 0.0000 0.9999 0.0000 0.0000 0.000 0.782  1.020 0.048 0.455 0.000 0.000 0.000 0.000 0.000 0.000 
